state,county,regular,fips,fips_county_name,match_score,match_method,county_lower
AK,Aleutians West,5.749,2016,Aleutians West Census Area,100,manual,aleutians west
AK,Anchorage,5.289,2020,Anchorage Municipality,100,exact,anchorage
AK,Denali,5.709,2068,Denali Borough,100,exact,denali
AK,Fairbanks North Star,5.275,2090,Fairbanks North Star Borough,100,exact,fairbanks north star
AK,Haines,4.299,2100,Haines Borough,100,exact,haines
AK,Juneau,4.823,2110,Juneau City and Borough,100,exact,juneau
AK,Kenai Peninsula,5.382,2122,Kenai Peninsula Borough,100,exact,kenai peninsula
AK,Ketchikan Gateway,4.992,2130,Ketchikan Gateway Borough,100,exact,ketchikan gateway
AK,Kodiak Island,5.629,2150,Kodiak Island Borough,100,exact,kodiak island
AK,Matanuska Susitna,5.164,2170,Matanuska-Susitna Borough,100,fuzzy,matanuska susitna
AK,Prince Wales Ketchikan,4.759,2198,Prince of Wales-Hyder Census Area,100,manual,prince wales ketchikan
AK,Sitka,4.549,2220,Sitka City and Borough,100,exact,sitka
AK,Southeast Fairbanks,5.483,2240,Southeast Fairbanks Census Area,100,exact,southeast fairbanks
AK,Valdez Cordova,5.57,2066,Copper River Census Area,100,manual,valdez cordova
AK,Wrangell Petersburg,4.959,2280,,100,manual,wrangell petersburg
AK,Yukon Koyukuk,5.809,2290,Yukon-Koyukuk Census Area,100,fuzzy,yukon koyukuk
AL,Autauga,4.044,1001,Autauga County,100,exact,autauga
AL,Baldwin,4.039,1003,Baldwin County,100,exact,baldwin
AL,Barbour,4.236,1005,Barbour County,100,exact,barbour
AL,Bibb,4.033,1007,Bibb County,100,exact,bibb
AL,Blount,4.104,1009,Blount County,100,exact,blount
AL,Bullock,4.113,1011,Bullock County,100,exact,bullock
AL,Butler,4.144,1013,Butler County,100,exact,butler
AL,Calhoun,3.962,1015,Calhoun County,100,exact,calhoun
AL,Chambers,3.994,1017,Chambers County,100,exact,chambers
AL,Cherokee,3.923,1019,Cherokee County,100,exact,cherokee
AL,Chilton,4.141,1021,Chilton County,100,exact,chilton
AL,Choctaw,4.168,1023,Choctaw County,100,exact,choctaw
AL,Clarke,4.086,1025,Clarke County,100,exact,clarke
AL,Clay,4.032,1027,Clay County,100,exact,clay
AL,Cleburne,4.066,1029,Cleburne County,100,exact,cleburne
AL,Coffee,4.096,1031,Coffee County,100,exact,coffee
AL,Colbert,4.072,1033,Colbert County,100,exact,colbert
AL,Conecuh,4.224,1035,Conecuh County,100,exact,conecuh
AL,Coosa,4.079,1037,Coosa County,100,exact,coosa
AL,Covington,4.208,1039,Covington County,100,exact,covington
AL,Crenshaw,4.106,1041,Crenshaw County,100,exact,crenshaw
AL,Cullman,4.013,1043,Cullman County,100,exact,cullman
AL,Dale,4.173,1045,Dale County,100,exact,dale
AL,Dallas,4.171,1047,Dallas County,100,exact,dallas
AL,De Kalb,4.098,1049,DeKalb County,92,fuzzy,de kalb
AL,Elmore,4.065,1051,Elmore County,100,exact,elmore
AL,Escambia,4.165,1053,Escambia County,100,exact,escambia
AL,Etowah,3.965,1055,Etowah County,100,exact,etowah
AL,Fayette,4.119,1057,Fayette County,100,exact,fayette
AL,Franklin,4.097,1059,Franklin County,100,exact,franklin
AL,Geneva,4.172,1061,Geneva County,100,exact,geneva
AL,Greene,4.123,1063,Greene County,100,exact,greene
AL,Hale,4.179,1065,Hale County,100,exact,hale
AL,Henry,4.08,1067,Henry County,100,exact,henry
AL,Houston,4.102,1069,Houston County,100,exact,houston
AL,Jackson,4.131,1071,Jackson County,100,exact,jackson
AL,Jefferson,4.064,1073,Jefferson County,100,exact,jefferson
AL,Lamar,4.037,1075,Lamar County,100,exact,lamar
AL,Lauderdale,4.086,1077,Lauderdale County,100,exact,lauderdale
AL,Lawrence,4.048,1079,Lawrence County,100,exact,lawrence
AL,Lee,4.049,1081,Lee County,100,exact,lee
AL,Limestone,4.097,1083,Limestone County,100,exact,limestone
AL,Lowndes,4.123,1085,Lowndes County,100,exact,lowndes
AL,Macon,4.198,1087,Macon County,100,exact,macon
AL,Madison,4.067,1089,Madison County,100,exact,madison
AL,Marengo,4.052,1091,Marengo County,100,exact,marengo
AL,Marion,4.084,1093,Marion County,100,exact,marion
AL,Marshall,4.059,1095,Marshall County,100,exact,marshall
AL,Mobile,4.018,1097,Mobile County,100,exact,mobile
AL,Monroe,4.096,1099,Monroe County,100,exact,monroe
AL,Montgomery,4.069,1101,Montgomery County,100,exact,montgomery
AL,Morgan,4.005,1103,Morgan County,100,exact,morgan
AL,Perry,4.266,1105,Perry County,100,exact,perry
AL,Pickens,4.055,1107,Pickens County,100,exact,pickens
AL,Pike,4.174,1109,Pike County,100,exact,pike
AL,Randolph,4.096,1111,Randolph County,100,exact,randolph
AL,Russell,4.128,1113,Russell County,100,exact,russell
AL,Shelby,4.017,1117,Shelby County,100,exact,shelby
AL,Saint Clair,3.998,1115,St. Clair County,84,fuzzy,saint clair
AL,Sumter,4.146,1119,Sumter County,100,exact,sumter
AL,Talladega,3.982,1121,Talladega County,100,exact,talladega
AL,Tallapoosa,4.024,1123,Tallapoosa County,100,exact,tallapoosa
AL,Tuscaloosa,4.023,1125,Tuscaloosa County,100,exact,tuscaloosa
AL,Walker,4.015,1127,Walker County,100,exact,walker
AL,Washington,4.179,1129,Washington County,100,exact,washington
AL,Wilcox,4.399,1131,Wilcox County,100,exact,wilcox
AL,Winston,4.117,1133,Winston County,100,exact,winston
AR,Arkansas,3.981,5001,Arkansas County,100,exact,arkansas
AR,Ashley,4.036,5003,Ashley County,100,exact,ashley
AR,Baxter,4.033,5005,Baxter County,100,exact,baxter
AR,Benton,4.041,5007,Benton County,100,exact,benton
AR,Boone,4.098,5009,Boone County,100,exact,boone
AR,Bradley,3.974,5011,Bradley County,100,exact,bradley
AR,Calhoun,4.199,5013,Calhoun County,100,exact,calhoun
AR,Carroll,4.016,5015,Carroll County,100,exact,carroll
AR,Chicot,4.005,5017,Chicot County,100,exact,chicot
AR,Clark,4.166,5019,Clark County,100,exact,clark
AR,Clay,4.056,5021,Clay County,100,exact,clay
AR,Cleburne,4.017,5023,Cleburne County,100,exact,cleburne
AR,Cleveland,4.199,5025,Cleveland County,100,exact,cleveland
AR,Columbia,4.181,5027,Columbia County,100,exact,columbia
AR,Conway,4.025,5029,Conway County,100,exact,conway
AR,Craighead,3.998,5031,Craighead County,100,exact,craighead
AR,Crawford,3.978,5033,Crawford County,100,exact,crawford
AR,Crittenden,4.059,5035,Crittenden County,100,exact,crittenden
AR,Cross,4.022,5037,Cross County,100,exact,cross
AR,Dallas,4.122,5039,Dallas County,100,exact,dallas
AR,Desha,4.17,5041,Desha County,100,exact,desha
AR,Drew,4.071,5043,Drew County,100,exact,drew
AR,Faulkner,3.945,5045,Faulkner County,100,exact,faulkner
AR,Franklin,4.046,5047,Franklin County,100,exact,franklin
AR,Fulton,4.087,5049,Fulton County,100,exact,fulton
AR,Garland,4.006,5051,Garland County,100,exact,garland
AR,Grant,4.009,5053,Grant County,100,exact,grant
AR,Greene,3.986,5055,Greene County,100,exact,greene
AR,Hempstead,4.137,5057,Hempstead County,100,exact,hempstead
