fiscal_year,account,date,month,year,field,value,fytd
2026,Highway,10/1/2025,October,2025,opening_balance,56417726662,56417726662
2026,Highway,11/1/2025,November,2025,opening_balance,51170886656,56417726662
2026,Highway,12/1/2025,December,2025,opening_balance,50749968917,56417726662
2026,Highway,1/1/2026,January,2026,opening_balance,48623348468,56417726662
2026,Highway,2/1/2026,February,2026,opening_balance,48372076899,56417726662
2026,Highway,3/1/2026,March,2026,opening_balance,48263367618,56417726662
2026,Highway,4/1/2026,April,2026,opening_balance,0,56417726662
2026,Highway,5/1/2026,May,2026,opening_balance,0,56417726662
2026,Highway,6/1/2026,June,2026,opening_balance,0,56417726662
2026,Highway,7/1/2026,July,2026,opening_balance,0,56417726662
2026,Highway,8/1/2026,August,2026,opening_balance,0,56417726662
2026,Highway,9/1/2026,September,2026,opening_balance,0,56417726662
2026,Highway,10/1/2025,October,2025,net_tax_receipts,694056000,17642041310
2026,Highway,11/1/2025,November,2025,net_tax_receipts,3399738000,17642041310
2026,Highway,12/1/2025,December,2025,net_tax_receipts,3402130000,17642041310
2026,Highway,1/1/2026,January,2026,net_tax_receipts,3012165000,17642041310
2026,Highway,2/1/2026,February,2026,net_tax_receipts,3037290000,17642041310
2026,Highway,3/1/2026,March,2026,net_tax_receipts,4096662310,17642041310
2026,Highway,4/1/2026,April,2026,net_tax_receipts,0,17642041310
2026,Highway,5/1/2026,May,2026,net_tax_receipts,0,17642041310
2026,Highway,6/1/2026,June,2026,net_tax_receipts,0,17642041310
2026,Highway,7/1/2026,July,2026,net_tax_receipts,0,17642041310
2026,Highway,8/1/2026,August,2026,net_tax_receipts,0,17642041310
2026,Highway,9/1/2026,September,2026,net_tax_receipts,0,17642041310
2026,Highway,10/1/2025,October,2025,interest_income,183443324.4,905890475.3
2026,Highway,11/1/2025,November,2025,interest_income,147668681.2,905890475.3
2026,Highway,12/1/2025,December,2025,interest_income,159229050.5,905890475.3
2026,Highway,1/1/2026,January,2026,interest_income,137746208.6,905890475.3
2026,Highway,2/1/2026,February,2026,interest_income,129215795.2,905890475.3
2026,Highway,3/1/2026,March,2026,interest_income,148587415.5,905890475.3
2026,Highway,4/1/2026,April,2026,interest_income,0,905890475.3
2026,Highway,5/1/2026,May,2026,interest_income,0,905890475.3
2026,Highway,6/1/2026,June,2026,interest_income,0,905890475.3
2026,Highway,7/1/2026,July,2026,interest_income,0,905890475.3
2026,Highway,8/1/2026,August,2026,interest_income,0,905890475.3
2026,Highway,9/1/2026,September,2026,interest_income,0,905890475.3
2026,Highway,10/1/2025,October,2025,other_receipts,463363.81,2734492.73
2026,Highway,11/1/2025,November,2025,other_receipts,372655.99,2734492.73
2026,Highway,12/1/2025,December,2025,other_receipts,401274.27,2734492.73
2026,Highway,1/1/2026,January,2026,other_receipts,344175.52,2734492.73
2026,Highway,2/1/2026,February,2026,other_receipts,478643.32,2734492.73
2026,Highway,3/1/2026,March,2026,other_receipts,674379.82,2734492.73
2026,Highway,4/1/2026,April,2026,other_receipts,0,2734492.73
2026,Highway,5/1/2026,May,2026,other_receipts,0,2734492.73
